	0	1	2	organism
10	ASCL1_MOUSE.PEAKS035575.gem.control	4.854120127931731	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
17	ASCL1_MOUSE.PEAKS035575.macs.control	4.760334723750493	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
20	ASCL1_MOUSE.PEAKS035581.gem.control	4.7379238018707905	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
21	ASCL1_MOUSE.PEAKS035581.macs.control	4.734832351374622	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
30	ASCL1_MOUSE.PEAKS038157.gem.control	4.504658668319972	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
33	ASCL1_MOUSE.PEAKS036292.gem.control	4.383815783043876	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
34	ASCL1_MOUSE.PEAKS036622.gem.control	4.3799350802125065	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
35	ASCL1_MOUSE.PEAKS038157.macs.control	4.361031203731621	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
36	ASCL1_MOUSE.PEAKS035576.gem.control	4.3541066064622855	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
38	ASCL1_MOUSE.PEAKS036622.macs.control	4.31676803084626	/home/pavelkrav/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
