	0	1	2	organism
0	BMAL1_HUMAN.PEAKS038123.gem.control	3.6171507505852905	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
5	BMAL1_HUMAN.PEAKS036917.macs.control	2.9499620179099266	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
8	BMAL1_HUMAN.PEAKS039218.gem.control	2.8610905889945912	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
13	BMAL1_HUMAN.PEAKS036917.gem.control	2.718515771306569	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
17	BMAL1_HUMAN.PEAKS039219.gem.control	2.3384787504359186	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
18	BMAL1_HUMAN.PEAKS039218.macs.control	2.271824219290338	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
19	BMAL1_HUMAN.PEAKS039219.macs.control	2.2322362231550885	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
21	BMAL1_HUMAN.PEAKS034370.macs.control	2.1601402107525307	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
24	BMAL1_HUMAN.PEAKS039221.gem.control	1.9627712024085315	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
26	BMAL1_HUMAN.PEAKS039221.macs.control	1.816989152546592	/home/pavel-kravchenko/wlogauc_datasets/di/BMAL1.M.txt	HUMAN
