	0	1	2	organism
19	COE1_MOUSE.PEAKS039240.gem.control	6.0631157327571	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
21	COE1_MOUSE.PEAKS039240.macs.control	6.016776243598628	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
23	COE1_MOUSE.PEAKS039241.gem.control	5.917700063237644	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
24	COE1_MOUSE.PEAKS039241.macs.control	5.904855817094092	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
25	COE1_MOUSE.PEAKS038139.gem.control	5.891839803130103	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
27	COE1_MOUSE.PEAKS038139.macs.control	5.870475867379072	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
28	COE1_MOUSE.PEAKS039573.macs.control	5.789075254420178	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
33	COE1_MOUSE.PEAKS038141.macs.control	5.716322219245945	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
35	COE1_MOUSE.PEAKS039571.macs.control	5.664186475790402	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
36	COE1_MOUSE.PEAKS039570.macs.control	5.627324786485383	/home/pavelkrav/wlogauc_datasets/di/COE1.M.txt	MOUSE
