	0	1	2	organism
15	CTCFL_HUMAN.PEAKS038295.gem.control	5.050700933785548	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
16	CTCFL_HUMAN.PEAKS033554.gem.control	4.977619418001456	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
17	CTCFL_HUMAN.PEAKS038297.gem.control	4.925660603261166	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
18	CTCFL_HUMAN.PEAKS033505.gem.control	4.924073461197798	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
19	CTCFL_HUMAN.PEAKS038304.gem.control	4.9091731030321055	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
20	CTCFL_HUMAN.PEAKS033554.macs.control	4.882596372320053	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
21	CTCFL_HUMAN.PEAKS033505.macs.control	4.867544971893109	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
23	CTCFL_HUMAN.PEAKS038303.gem.control	4.732176179115122	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
24	CTCFL_HUMAN.PEAKS038297.macs.control	4.569552702313254	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
25	CTCFL_HUMAN.PEAKS034436.gem.control	4.409682200916901	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
