	0	1	2	organism
0	EGR1_MOUSE.PEAKS035919.gem.control	7.140826408970837	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
1	EGR1_MOUSE.PEAKS035919.sissrs.control	6.993256687337773	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
2	EGR1_MOUSE.PEAKS035919.macs.control	6.5045423976430525	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
6	EGR1_MOUSE.PEAKS035917.pics.control	5.785429318241959	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
14	EGR1_MOUSE.PEAKS035917.sissrs.control	5.188881299428901	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
16	EGR1_MOUSE.PEAKS035917.macs.control	4.9737216881850586	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
37	EGR1_MOUSE.PEAKS036141.gem.control	3.7282684566220943	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
38	EGR1_MOUSE.PEAKS035918.pics.control	3.662678505971489	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
40	EGR1_MOUSE.PEAKS036141.macs.control	3.2444505454064636	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
43	EGR1_MOUSE.PEAKS035918.macs.control	2.8513486129218983	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
45	EGR1_MOUSE.PEAKS035916.pics.control	2.31367199171712	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
47	EGR1_MOUSE.PEAKS035916.macs.control	2.2356057456253597	/home/pavel-kravchenko/wlogauc_datasets/di/EGR1.M.txt	MOUSE
