	0	1	2	organism
16	FOS_MOUSE.PEAKS036516.gem.control	3.824235703208857	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
17	FOS_MOUSE.PEAKS038481.gem.control	3.766241309496042	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
20	FOS_MOUSE.PEAKS039310.gem.control	3.5345248456517595	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
21	FOS_MOUSE.PEAKS038987.macs.control	3.5065613077035143	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
22	FOS_MOUSE.PEAKS036516.macs.control	3.4347346717725964	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
24	FOS_MOUSE.PEAKS038481.macs.control	3.3935507943320675	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
25	FOS_MOUSE.PEAKS039310.macs.control	3.3882906639874237	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
26	FOS_MOUSE.PEAKS038987.gem.control	3.360604114247716	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
29	FOS_MOUSE.PEAKS039303.gem.control	3.08133530735844	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
31	FOS_MOUSE.PEAKS038484.gem.control	2.9558312100274837	/home/pavelkrav/wlogauc_datasets/di/FOS.M.txt	MOUSE
