	0	1	2	organism
0	HNF4A_HUMAN.PEAKS033346.pics.control	6.263588237425859	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
1	HNF4A_HUMAN.PEAKS033410.pics.control	6.123346511021433	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
2	HNF4A_HUMAN.PEAKS034659.pics.control	6.036011877690643	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
3	HNF4A_HUMAN.PEAKS034558.pics.control	5.991784043094571	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
9	HNF4A_HUMAN.PEAKS039452.gem.control	5.72202896143235	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
11	HNF4A_HUMAN.PEAKS034551.gem.control	5.6853123081324295	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
12	HNF4A_HUMAN.PEAKS034090.gem.control	5.680535284748813	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
13	HNF4A_HUMAN.PEAKS034558.gem.control	5.6707155114245325	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
16	HNF4A_HUMAN.PEAKS033346.gem.control	5.621211836852453	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
17	HNF4A_HUMAN.PEAKS039452.pics.control	5.619149612924981	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
27	HNF4A_HUMAN.PEAKS033410.gem.control	5.479258110789308	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
28	HNF4A_HUMAN.PEAKS034551.macs.control	5.4302282854370505	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
29	HNF4A_HUMAN.PEAKS033346.macs.control	5.400517086991634	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
34	HNF4A_HUMAN.PEAKS033103.pics.control	5.316585151499688	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
35	HNF4A_HUMAN.PEAKS033442.pics.control	5.3025197194644615	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
37	HNF4A_HUMAN.PEAKS034090.macs.control	5.267900735340866	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
38	HNF4A_HUMAN.PEAKS033102.pics.control	5.2632027600027245	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
39	HNF4A_HUMAN.PEAKS033410.macs.control	5.226831313385127	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
42	HNF4A_HUMAN.PEAKS034659.sissrs.control	5.1976440056835616	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
45	HNF4A_HUMAN.PEAKS033346.sissrs.control	5.069136927554976	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
47	HNF4A_HUMAN.PEAKS034558.macs.control	5.0334039824760834	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
50	HNF4A_HUMAN.PEAKS033615.gem.control	4.857968839364771	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
51	HNF4A_HUMAN.PEAKS033103.sissrs.control	4.845998645199142	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
52	HNF4A_HUMAN.PEAKS033103.gem.control	4.807434507910727	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
53	HNF4A_HUMAN.PEAKS033102.sissrs.control	4.805054103304854	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
54	HNF4A_HUMAN.PEAKS033479.gem.control	4.802726097414181	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
55	HNF4A_HUMAN.PEAKS033103.macs.control	4.797911860005657	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
56	HNF4A_HUMAN.PEAKS039452.macs.control	4.794800362165881	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
57	HNF4A_HUMAN.PEAKS033615.macs.control	4.787731344576975	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
58	HNF4A_HUMAN.PEAKS033442.gem.control	4.781344464017363	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
59	HNF4A_HUMAN.PEAKS033102.macs.control	4.725693686694585	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
60	HNF4A_HUMAN.PEAKS039455.gem.control	4.71718756081603	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
61	HNF4A_HUMAN.PEAKS037598.pics.control	4.7005177469961135	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
62	HNF4A_HUMAN.PEAKS033102.gem.control	4.6303942824199185	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
63	HNF4A_HUMAN.PEAKS033479.macs.control	4.553980055267533	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
64	HNF4A_HUMAN.PEAKS034090.sissrs.control	4.526482135393123	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
67	HNF4A_HUMAN.PEAKS033442.macs.control	4.419782672364149	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
68	HNF4A_HUMAN.PEAKS037599.gem.control	4.405676471160907	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
71	HNF4A_HUMAN.PEAKS037598.gem.control	4.181889300174492	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
72	HNF4A_HUMAN.PEAKS033442.sissrs.control	4.010333195569257	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
73	HNF4A_HUMAN.PEAKS039455.sissrs.control	3.9266633648723896	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
74	HNF4A_HUMAN.PEAKS039452.sissrs.control	3.8189819254772073	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
75	HNF4A_HUMAN.PEAKS034551.sissrs.control	3.7767256394864415	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
76	HNF4A_HUMAN.PEAKS037599.macs.control	3.749326767121462	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
77	HNF4A_HUMAN.PEAKS034558.sissrs.control	3.7476033317713795	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
78	HNF4A_HUMAN.PEAKS037598.macs.control	3.6534068685121097	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
79	HNF4A_HUMAN.PEAKS039345.pics.control	1.6140253657297159	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
80	HNF4A_HUMAN.PEAKS039345.gem.control	1.3570335311027035	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
81	HNF4A_HUMAN.PEAKS039345.macs.control	1.1086923389214391	/home/pavel-kravchenko/wlogauc_datasets/di/HNF4A.M.txt	HUMAN
