	0	1	2	organism
0	MYC_MOUSE.PEAKS036488.pics.control	4.2587968390035025	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
1	MYC_MOUSE.PEAKS039528.sissrs.control	4.106448471454509	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
2	MYC_MOUSE.PEAKS037696.pics.control	4.014977998896645	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
4	MYC_MOUSE.PEAKS036488.sissrs.control	3.9660013267769374	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
8	MYC_MOUSE.PEAKS039533.sissrs.control	3.759169558955469	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
9	MYC_MOUSE.PEAKS039530.sissrs.control	3.728186547750368	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
10	MYC_MOUSE.PEAKS039531.sissrs.control	3.699245856639908	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
11	MYC_MOUSE.PEAKS039537.sissrs.control	3.6861462359547006	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
12	MYC_MOUSE.PEAKS037305.sissrs.control	3.6861450460841136	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
13	MYC_MOUSE.PEAKS037696.sissrs.control	3.6801493337173015	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
14	MYC_MOUSE.PEAKS035191.pics.control	3.659805377000029	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
15	MYC_MOUSE.PEAKS036491.sissrs.control	3.6501687649060366	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
16	MYC_MOUSE.PEAKS039527.sissrs.control	3.6086304685772728	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
17	MYC_MOUSE.PEAKS036491.pics.control	3.5854390603796693	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
20	MYC_MOUSE.PEAKS035482.sissrs.control	3.5267678874128467	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
21	MYC_MOUSE.PEAKS039529.sissrs.control	3.5262465474632765	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
23	MYC_MOUSE.PEAKS036493.pics.control	3.4924188397271787	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
26	MYC_MOUSE.PEAKS039533.gem.control	3.4468450607302525	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
30	MYC_MOUSE.PEAKS035511.sissrs.control	3.424772153924607	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
31	MYC_MOUSE.PEAKS039534.gem.control	3.424161060998916	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
32	MYC_MOUSE.PEAKS039528.pics.control	3.419651154640343	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
36	MYC_MOUSE.PEAKS037305.gem.control	3.3733629691509246	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
37	MYC_MOUSE.PEAKS037305.pics.control	3.3556467330296957	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
39	MYC_MOUSE.PEAKS037551.pics.control	3.3404853560961114	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
40	MYC_MOUSE.PEAKS039531.gem.control	3.3388751942775685	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
42	MYC_MOUSE.PEAKS039527.pics.control	3.318497938627768	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
43	MYC_MOUSE.PEAKS039532.gem.control	3.3180233422200507	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
45	MYC_MOUSE.PEAKS039533.pics.control	3.3088591418334987	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
46	MYC_MOUSE.PEAKS036062.sissrs.control	3.2995139407876235	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
47	MYC_MOUSE.PEAKS039535.gem.control	3.2980939433023644	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
49	MYC_MOUSE.PEAKS039537.gem.control	3.2759939572598533	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
50	MYC_MOUSE.PEAKS039530.gem.control	3.251416308367489	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
51	MYC_MOUSE.PEAKS036493.gem.control	3.2465228272834303	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
52	MYC_MOUSE.PEAKS036517.gem.control	3.2463448389140517	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
54	MYC_MOUSE.PEAKS035191.macs.control	3.2097989483560627	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
55	MYC_MOUSE.PEAKS039533.macs.control	3.2059404413014483	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
57	MYC_MOUSE.PEAKS038691.gem.control	3.203043897270733	/home/pavel-kravchenko/wlogauc_datasets/di/MYC.M.txt	MOUSE
