	0	1	2	organism
23	SOX2_MOUSE.PEAKS035433.gem.control	3.9938943257129758	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
25	SOX2_MOUSE.PEAKS035820.gem.control	3.972295313340089	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
27	SOX2_MOUSE.PEAKS035822.gem.control	3.9534538012866656	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
30	SOX2_MOUSE.PEAKS038569.gem.control	3.9186413533388103	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
31	SOX2_MOUSE.PEAKS035828.gem.control	3.89478155940308	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
36	SOX2_MOUSE.PEAKS035200.gem.control	3.8272491163126783	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
37	SOX2_MOUSE.PEAKS035433.macs.control	3.8234389689129213	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
38	SOX2_MOUSE.PEAKS035200.macs.control	3.7877735898598326	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
39	SOX2_MOUSE.PEAKS037247.gem.control	3.776857917149535	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
40	SOX2_MOUSE.PEAKS035648.gem.control	3.76354452692976	/home/pavelkrav/wlogauc_datasets/di/SOX2.M.txt	MOUSE
