	0	1	2	organism
0	ESR1_MOUSE.PEAKS035949.pics.control	7.423996133939839	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
1	ESR1_MOUSE.PEAKS036166.gem.control	7.207396104481673	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
2	ESR1_MOUSE.PEAKS035948.sissrs.control	7.062629750096368	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
3	ESR1_MOUSE.PEAKS035949.sissrs.control	6.930844116499188	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
4	ESR1_MOUSE.PEAKS035948.pics.control	6.85048164893556	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
5	ESR1_MOUSE.PEAKS035604.pics.control	6.751056104402336	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
6	ESR1_MOUSE.PEAKS035604.sissrs.control	6.621880472270838	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
7	ESR1_MOUSE.PEAKS035604.gem.control	6.554707757404362	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
8	ESR1_MOUSE.PEAKS035949.gem.control	6.298927414095013	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
9	ESR1_MOUSE.PEAKS036166.sissrs.control	6.296461957370279	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
12	ESR1_MOUSE.PEAKS036229.pics.control	5.89529139643012	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
13	ESR1_MOUSE.PEAKS036220.pics.control	5.817393060908502	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
15	ESR1_MOUSE.PEAKS036230.pics.control	5.721169935743383	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
16	ESR1_MOUSE.PEAKS037554.gem.control	5.676905940996032	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
17	ESR1_MOUSE.PEAKS035604.macs.control	5.664873178421714	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
19	ESR1_MOUSE.PEAKS036229.gem.control	5.450832834831483	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
22	ESR1_MOUSE.PEAKS036229.macs.control	5.395013312415964	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
27	ESR1_MOUSE.PEAKS035949.macs.control	5.3408491203895165	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
32	ESR1_MOUSE.PEAKS036230.gem.control	5.22469277833506	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
45	ESR1_MOUSE.PEAKS037554.macs.control	5.100340489336286	/home/pavel-kravchenko/wlogauc_datasets/mono/ESR1.M.txt	MOUSE
