	0	1	2	organism
0	ETS1_MOUSE.PEAKS036648.sissrs.control	4.221225725233872	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
6	ETS1_MOUSE.PEAKS036648.gem.control	3.9796019880604034	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
7	ETS1_MOUSE.PEAKS036648.pics.control	3.927659699262575	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
14	ETS1_MOUSE.PEAKS036648.macs.control	3.7970585821243774	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
19	ETS1_MOUSE.PEAKS039242.pics.control	3.6591900045758488	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
24	ETS1_MOUSE.PEAKS035209.macs.control	3.474618389658757	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
25	ETS1_MOUSE.PEAKS035209.gem.control	3.4257792474160804	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
26	ETS1_MOUSE.PEAKS039242.gem.control	3.3365806696751874	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
27	ETS1_MOUSE.PEAKS039242.sissrs.control	3.334945574368645	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
28	ETS1_MOUSE.PEAKS039243.gem.control	3.317035921062582	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
29	ETS1_MOUSE.PEAKS035209.sissrs.control	3.2781005781297448	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
31	ETS1_MOUSE.PEAKS035387.pics.control	2.941129078804754	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
34	ETS1_MOUSE.PEAKS035387.gem.control	2.8472967116086574	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
35	ETS1_MOUSE.PEAKS035387.macs.control	2.7654403600365507	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
41	ETS1_MOUSE.PEAKS037934.gem.control	2.5254217050632817	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
42	ETS1_MOUSE.PEAKS037934.macs.control	2.5144233556967466	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
44	ETS1_MOUSE.PEAKS036081.gem.control	2.4640080781282823	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
49	ETS1_MOUSE.PEAKS036080.gem.control	2.3464058860877364	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
51	ETS1_MOUSE.PEAKS036081.macs.control	2.3422255369075153	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
52	ETS1_MOUSE.PEAKS039242.macs.control	2.30148278758765	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
55	ETS1_MOUSE.PEAKS036081.sissrs.control	2.273683433972964	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
56	ETS1_MOUSE.PEAKS037933.macs.control	2.2495561561392514	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
63	ETS1_MOUSE.PEAKS036080.macs.control	2.098582878811537	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
64	ETS1_MOUSE.PEAKS039243.macs.control	2.0787027284234463	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
65	ETS1_MOUSE.PEAKS037933.gem.control	2.0635486112398373	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
67	ETS1_MOUSE.PEAKS036080.sissrs.control	2.0285127669079634	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
70	ETS1_MOUSE.PEAKS036790.macs.control	1.9370703047490507	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
71	ETS1_MOUSE.PEAKS035758.gem.control	1.853609383204324	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
73	ETS1_MOUSE.PEAKS035758.macs.control	1.7534139065111043	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
74	ETS1_MOUSE.PEAKS036790.sissrs.control	1.6891559900151445	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
75	ETS1_MOUSE.PEAKS035758.pics.control	1.6075488918593326	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
76	ETS1_MOUSE.PEAKS036798.sissrs.control	1.556290038015156	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
77	ETS1_MOUSE.PEAKS035758.sissrs.control	1.5436964342499548	/home/pavel-kravchenko/wlogauc_datasets/mono/ETS1.M.txt	MOUSE
