	0	1	2	organism
41	GCR_HUMAN.PEAKS034499.gem.control	5.109398915024197	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
45	GCR_HUMAN.PEAKS034495.gem.control	5.075929230956376	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
46	GCR_HUMAN.PEAKS038091.gem.control	5.062144386474934	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
49	GCR_HUMAN.PEAKS034500.gem.control	5.010486289208841	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
50	GCR_HUMAN.PEAKS037834.gem.control	5.0022734074048465	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
51	GCR_HUMAN.PEAKS033246.gem.control	4.991616262457286	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
53	GCR_HUMAN.PEAKS037834.macs.control	4.985436886413344	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
57	GCR_HUMAN.PEAKS034500.macs.control	4.972605368921278	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
60	GCR_HUMAN.PEAKS038366.gem.control	4.968969570521773	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
62	GCR_HUMAN.PEAKS037176.gem.control	4.938856331261993	/home/pavelkrav/wlogauc_datasets/di/GCR.M.txt	HUMAN
