	0	1	2	organism
8	HNF1B_HUMAN.PEAKS037730.macs.control	4.570116462269137	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.M.txt	HUMAN
9	HNF1B_HUMAN.PEAKS037730.gem.control	4.4173369762163	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.M.txt	HUMAN
21	HNF1B_HUMAN.PEAKS037730.macs.control	3.800178179435041	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.T.txt	HUMAN
22	HNF1B_HUMAN.PEAKS037730.gem.control	3.687515162177154	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.T.txt	HUMAN
10	HNF1B_HUMAN.PEAKS037730.pics.control	3.628327196638012	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.M.txt	HUMAN
23	HNF1B_HUMAN.PEAKS037730.pics.control	3.0087968893190653	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.T.txt	HUMAN
24	HNF1B_HUMAN.PEAKS034113.sissrs.control	0.6114611461202547	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.T.txt	HUMAN
25	HNF1B_HUMAN.PEAKS034113.macs.control	0.5963352026268193	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.T.txt	HUMAN
11	HNF1B_HUMAN.PEAKS034113.macs.control	0.5862137880799859	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.M.txt	HUMAN
12	HNF1B_HUMAN.PEAKS034113.sissrs.control	0.5486045318861922	/home/pavel-kravchenko/wlogauc_datasets/mono/HNF1B.M.txt	HUMAN
