	0	1	2	organism
0	HSF1_HUMAN.PEAKS034814.pics.control	7.818570485572565	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
1	HSF1_HUMAN.PEAKS034912.pics.control	7.330109207468643	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
2	HSF1_HUMAN.PEAKS034804.pics.control	6.656963857208383	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
3	HSF1_HUMAN.PEAKS034806.gem.control	6.626558950076642	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
4	HSF1_HUMAN.PEAKS034804.sissrs.control	6.592020397460403	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
5	HSF1_HUMAN.PEAKS034614.gem.control	6.5368539140341335	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
7	HSF1_HUMAN.PEAKS034814.gem.control	6.413634449869372	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
8	HSF1_HUMAN.PEAKS034913.gem.control	6.378713683299277	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
9	HSF1_HUMAN.PEAKS034804.gem.control	6.378376984467568	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
11	HSF1_HUMAN.PEAKS034819.gem.control	6.342171659661987	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
13	HSF1_HUMAN.PEAKS037406.macs.control	6.272465348484183	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
14	HSF1_HUMAN.PEAKS034804.macs.control	6.250041700975619	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
15	HSF1_HUMAN.PEAKS034810.gem.control	6.221726530021432	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
18	HSF1_HUMAN.PEAKS034817.gem.control	6.12635194699837	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
19	HSF1_HUMAN.PEAKS037406.gem.control	6.08904790326476	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
20	HSF1_HUMAN.PEAKS037406.pics.control	6.086171524152287	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
22	HSF1_HUMAN.PEAKS034811.gem.control	6.0220861575355205	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
25	HSF1_HUMAN.PEAKS037405.gem.control	5.979253383753304	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
26	HSF1_HUMAN.PEAKS034812.gem.control	5.93828562070951	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
27	HSF1_HUMAN.PEAKS037405.macs.control	5.937461892686869	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
29	HSF1_HUMAN.PEAKS037405.pics.control	5.868809526585671	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
34	HSF1_HUMAN.PEAKS034814.macs.control	5.778510812447741	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
38	HSF1_HUMAN.PEAKS034913.macs.control	5.713007250126586	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
39	HSF1_HUMAN.PEAKS034912.gem.control	5.694879147242794	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
40	HSF1_HUMAN.PEAKS034803.gem.control	5.691930826005247	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
41	HSF1_HUMAN.PEAKS034912.macs.control	5.657274107846779	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
43	HSF1_HUMAN.PEAKS034813.gem.control	5.605335636020921	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
44	HSF1_HUMAN.PEAKS037165.gem.control	5.381481330753794	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
47	HSF1_HUMAN.PEAKS037168.gem.control	5.271479224119808	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
49	HSF1_HUMAN.PEAKS034915.gem.control	4.989058278229347	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
50	HSF1_HUMAN.PEAKS034812.sissrs.control	4.924707607310401	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
51	HSF1_HUMAN.PEAKS034808.gem.control	4.904641250651347	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
52	HSF1_HUMAN.PEAKS034813.sissrs.control	4.894818247623981	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
53	HSF1_HUMAN.PEAKS034802.macs.control	4.7750690284216155	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
54	HSF1_HUMAN.PEAKS034914.gem.control	4.772132913582233	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
88	HSF1_HUMAN.PEAKS034804.sissrs.control	4.700861814257081	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
55	HSF1_HUMAN.PEAKS034814.sissrs.control	4.668326531621389	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
89	HSF1_HUMAN.PEAKS034814.pics.control	4.553920215664932	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
56	HSF1_HUMAN.PEAKS037165.macs.control	4.5211650210117815	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
90	HSF1_HUMAN.PEAKS034912.pics.control	4.282338807463288	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
95	HSF1_HUMAN.PEAKS034804.pics.control	4.0174744606336485	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
57	HSF1_HUMAN.PEAKS037165.sissrs.control	4.000923018349228	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
96	HSF1_HUMAN.PEAKS034810.gem.control	3.901457269117654	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
97	HSF1_HUMAN.PEAKS034806.gem.control	3.8726303243178832	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
98	HSF1_HUMAN.PEAKS034614.gem.control	3.8663583101742103	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
99	HSF1_HUMAN.PEAKS034812.sissrs.control	3.8324229743126974	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
100	HSF1_HUMAN.PEAKS034804.macs.control	3.807414755196948	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
58	HSF1_HUMAN.PEAKS034802.pics.control	3.806913490715801	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.M.txt	HUMAN
101	HSF1_HUMAN.PEAKS037405.pics.control	3.804579985919764	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
102	HSF1_HUMAN.PEAKS034804.gem.control	3.7886555066763097	/home/pavel-kravchenko/wlogauc_datasets/mono/HSF1.S.txt	HUMAN
