	0	1	2	organism
0	IRF1_HUMAN.PEAKS034605.pics.control	7.047296831190518	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
1	IRF1_HUMAN.PEAKS034605.gem.control	6.75090433139412	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
4	IRF1_HUMAN.PEAKS034607.pics.control	6.436408939008214	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
6	IRF1_HUMAN.PEAKS034607.gem.control	6.2282976887438055	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
8	IRF1_HUMAN.PEAKS034606.pics.control	6.185602828270322	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
9	IRF1_HUMAN.PEAKS034605.macs.control	6.145795153428713	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
10	IRF1_HUMAN.PEAKS034606.gem.control	6.142798057481555	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
12	IRF1_HUMAN.PEAKS033589.gem.control	5.671720248964107	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
14	IRF1_HUMAN.PEAKS034607.macs.control	5.416800013331517	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
15	IRF1_HUMAN.PEAKS033589.sissrs.control	5.400703769302799	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
16	IRF1_HUMAN.PEAKS033589.macs.control	5.3705272382071865	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
20	IRF1_HUMAN.PEAKS034606.macs.control	5.088913483111627	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
22	IRF1_HUMAN.PEAKS034604.gem.control	3.991990775953215	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
23	IRF1_HUMAN.PEAKS034604.macs.control	3.834715364248652	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
26	IRF1_HUMAN.PEAKS034604.pics.control	2.128222942850348	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
28	IRF1_HUMAN.PEAKS037731.macs.control	1.9823835285893807	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
30	IRF1_HUMAN.PEAKS037731.gem.control	1.902458776384016	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
35	IRF1_HUMAN.PEAKS034451.pics.control	1.6103614774316748	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
36	IRF1_HUMAN.PEAKS034451.sissrs.control	1.1946887202902583	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
37	IRF1_HUMAN.PEAKS033805.macs.control	1.0663555161046678	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
38	IRF1_HUMAN.PEAKS033805.gem.control	1.0458400993153714	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
39	IRF1_HUMAN.PEAKS033805.sissrs.control	1.042475804010338	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
40	IRF1_HUMAN.PEAKS033805.pics.control	0.9192955502568012	/home/pavel-kravchenko/wlogauc_datasets/mono/IRF1.M.txt	HUMAN
