	0	1	2	organism
0	KLF5_MOUSE.PEAKS039107.pics.control	5.057006803496573	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
1	KLF5_MOUSE.PEAKS039107.gem.control	4.6210000187293	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
2	KLF5_MOUSE.PEAKS039107.macs.control	4.57832411670735	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
3	KLF5_MOUSE.PEAKS036534.gem.control	4.571863123026897	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
4	KLF5_MOUSE.PEAKS036534.pics.control	4.471969626018627	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
5	KLF5_MOUSE.PEAKS039107.sissrs.control	4.4553136888652585	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
6	KLF5_MOUSE.PEAKS039106.macs.control	4.380099054872811	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
7	KLF5_MOUSE.PEAKS036532.pics.control	4.356711835874688	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
8	KLF5_MOUSE.PEAKS039106.gem.control	4.3495465050166	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
9	KLF5_MOUSE.PEAKS038408.macs.control	4.295365692532759	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
10	KLF5_MOUSE.PEAKS039106.pics.control	4.260155095118469	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
11	KLF5_MOUSE.PEAKS039105.macs.control	4.234670710711149	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
13	KLF5_MOUSE.PEAKS039105.gem.control	4.136464471754346	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
14	KLF5_MOUSE.PEAKS038408.gem.control	4.126857940842781	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
19	KLF5_MOUSE.PEAKS038408.pics.control	3.937346243979821	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
20	KLF5_MOUSE.PEAKS036534.sissrs.control	3.916888370169157	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
24	KLF5_MOUSE.PEAKS039105.sissrs.control	3.795548973679735	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
26	KLF5_MOUSE.PEAKS039106.sissrs.control	3.7682182131557367	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
30	KLF5_MOUSE.PEAKS036532.sissrs.control	3.6069137323460647	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
33	KLF5_MOUSE.PEAKS038408.sissrs.control	3.2441104891122183	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
39	KLF5_MOUSE.PEAKS036660.pics.control	2.9746587129924316	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
40	KLF5_MOUSE.PEAKS036660.macs.control	2.9592083926363504	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
41	KLF5_MOUSE.PEAKS036660.gem.control	2.9170197656375216	/home/pavel-kravchenko/wlogauc_datasets/mono/KLF5.M.txt	MOUSE
