	0	1	2	organism
45	P53_MOUSE.PEAKS035696.gem.control	6.73506733817992	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
57	P53_MOUSE.PEAKS035696.macs.control	6.497225220293987	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
58	P53_MOUSE.PEAKS035698.gem.control	6.4820032054056504	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
62	P53_MOUSE.PEAKS038330.gem.control	6.38306078254104	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
65	P53_MOUSE.PEAKS035698.macs.control	6.367127482003102	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
72	P53_MOUSE.PEAKS038332.gem.control	6.194548284104612	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
74	P53_MOUSE.PEAKS035697.gem.control	6.160896185535637	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
75	P53_MOUSE.PEAKS035699.gem.control	6.10488387327554	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
84	P53_MOUSE.PEAKS035699.macs.control	5.8200826141815485	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
87	P53_MOUSE.PEAKS036231.gem.control	5.7573321284008685	/home/pavelkrav/wlogauc_datasets/mono/P53.M.txt	MOUSE
