	0	1	2	organism
0	PAX5_HUMAN.PEAKS038174.sissrs.control	4.3650470916104	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
1	PAX5_HUMAN.PEAKS034891.pics.control	4.13486277613611	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
2	PAX5_HUMAN.PEAKS034891.sissrs.control	3.9366631648265327	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
3	PAX5_HUMAN.PEAKS033826.sissrs.control	3.87067363437181	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
4	PAX5_HUMAN.PEAKS038174.gem.control	3.8124642452720963	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
5	PAX5_HUMAN.PEAKS038174.macs.control	3.78601453681538	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
6	PAX5_HUMAN.PEAKS038169.macs.control	3.732000779843185	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
7	PAX5_HUMAN.PEAKS038169.gem.control	3.6936397476838168	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
8	PAX5_HUMAN.PEAKS033826.pics.control	3.5206096788106995	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
9	PAX5_HUMAN.PEAKS034892.sissrs.control	3.512140233061694	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
11	PAX5_HUMAN.PEAKS034891.gem.control	3.4441771356922137	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
12	PAX5_HUMAN.PEAKS034892.pics.control	3.4230942403654074	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
13	PAX5_HUMAN.PEAKS033743.sissrs.control	3.411030245146728	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
14	PAX5_HUMAN.PEAKS033743.pics.control	3.3410001763864274	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
15	PAX5_HUMAN.PEAKS033510.sissrs.control	3.3265321810158364	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
16	PAX5_HUMAN.PEAKS033826.gem.control	3.0515940547930818	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
17	PAX5_HUMAN.PEAKS033743.gem.control	2.984864051010069	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
18	PAX5_HUMAN.PEAKS034892.gem.control	2.9148993756057355	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
19	PAX5_HUMAN.PEAKS033687.pics.control	2.8154860681510456	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
20	PAX5_HUMAN.PEAKS033552.gem.control	2.775139136975168	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
21	PAX5_HUMAN.PEAKS034891.macs.control	2.7733523162105964	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
22	PAX5_HUMAN.PEAKS033510.pics.control	2.743722644432152	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
23	PAX5_HUMAN.PEAKS033826.macs.control	2.7343777129913907	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
26	PAX5_HUMAN.PEAKS033743.macs.control	2.518953714281832	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
27	PAX5_HUMAN.PEAKS033552.macs.control	2.468429508832474	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
30	PAX5_HUMAN.PEAKS034893.pics.control	2.4105455777795872	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
31	PAX5_HUMAN.PEAKS033510.gem.control	2.406404783675333	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
32	PAX5_HUMAN.PEAKS033687.gem.control	2.347292931620605	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
33	PAX5_HUMAN.PEAKS034892.macs.control	2.3324148250922088	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
34	PAX5_HUMAN.PEAKS033510.macs.control	2.217467447174248	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
38	PAX5_HUMAN.PEAKS034893.gem.control	2.0028890242379918	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
39	PAX5_HUMAN.PEAKS034893.macs.control	1.8688292422783024	/home/pavel-kravchenko/wlogauc_datasets/mono/PAX5.M.txt	HUMAN
