	0	1	2	organism
1	RUNX1_HUMAN.PEAKS033155.sissrs.control	4.817814109668205	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
2	RUNX1_HUMAN.PEAKS033153.sissrs.control	4.715458629964355	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
4	RUNX1_HUMAN.PEAKS033154.sissrs.control	4.572455244745831	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
6	RUNX1_HUMAN.PEAKS038261.sissrs.control	4.4641115551351565	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
7	RUNX1_HUMAN.PEAKS034469.sissrs.control	4.341881877220051	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
8	RUNX1_HUMAN.PEAKS034601.pics.control	4.268419935017188	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
9	RUNX1_HUMAN.PEAKS033155.pics.control	4.242370168676265	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
10	RUNX1_HUMAN.PEAKS033153.pics.control	4.240217048064542	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
12	RUNX1_HUMAN.PEAKS037794.pics.control	4.21541985007166	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
13	RUNX1_HUMAN.PEAKS038262.sissrs.control	4.18953692963569	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
16	RUNX1_HUMAN.PEAKS034601.gem.control	4.021034273328995	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
17	RUNX1_HUMAN.PEAKS034469.pics.control	3.9662565269734618	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
18	RUNX1_HUMAN.PEAKS033154.pics.control	3.961141202783222	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
19	RUNX1_HUMAN.PEAKS037794.sissrs.control	3.9560472544798126	/home/pavel-kravchenko/wlogauc_datasets/mono/RUNX1.M.txt	HUMAN
