	0	1	2	organism
1	STA5B_HUMAN.PEAKS033306.gem.control	4.47942274871221	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
2	STA5B_HUMAN.PEAKS033306.macs.control	4.306526701316972	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
3	STA5B_HUMAN.PEAKS037755.gem.control	4.252722122923435	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
4	STA5B_HUMAN.PEAKS037754.gem.control	4.2260325482458265	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
5	STA5B_HUMAN.PEAKS037754.macs.control	4.203022900251838	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
6	STA5B_HUMAN.PEAKS037756.gem.control	4.1786658331014	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
7	STA5B_HUMAN.PEAKS037756.macs.control	4.1691855906206445	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
8	STA5B_HUMAN.PEAKS037755.macs.control	4.033527163767558	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
33	STA5B_HUMAN.PEAKS037757.gem.control	2.590795826011419	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
35	STA5B_HUMAN.PEAKS037757.macs.control	2.5437501899554733	/home/pavelkrav/wlogauc_datasets/di/STA5B.M.txt	HUMAN
