	0	1	2	organism
14	TF65_MOUSE.PEAKS037535.gem.control	4.211605862968797	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
46	TF65_MOUSE.PEAKS036315.pics.control	3.7207841973263736	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
56	TF65_MOUSE.PEAKS037928.macs.control	3.6181186243213834	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
57	TF65_MOUSE.PEAKS037927.gem.control	3.6172061893812515	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
58	TF65_MOUSE.PEAKS037928.gem.control	3.6064534841365785	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
60	TF65_MOUSE.PEAKS037927.macs.control	3.597543570427008	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
64	TF65_MOUSE.PEAKS037927.pics.control	3.541198616878137	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
65	TF65_MOUSE.PEAKS035548.gem.control	3.5326518031789393	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
66	TF65_MOUSE.PEAKS037930.sissrs.control	3.5310726399566286	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
69	TF65_MOUSE.PEAKS037927.sissrs.control	3.499760985371561	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
72	TF65_MOUSE.PEAKS037928.pics.control	3.4893403832707897	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
77	TF65_MOUSE.PEAKS037929.gem.control	3.431272251371378	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
78	TF65_MOUSE.PEAKS037928.sissrs.control	3.4270943975458388	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
80	TF65_MOUSE.PEAKS036311.pics.control	3.3989460069209514	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
83	TF65_MOUSE.PEAKS036321.gem.control	3.371257990626523	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
88	TF65_MOUSE.PEAKS037930.gem.control	3.330839033637943	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
91	TF65_MOUSE.PEAKS036321.macs.control	3.3148601118580037	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
97	TF65_MOUSE.PEAKS037929.sissrs.control	3.2632923532422833	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
99	TF65_MOUSE.PEAKS037930.macs.control	3.236120340268689	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
100	TF65_MOUSE.PEAKS036248.pics.control	3.225178273048703	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
101	TF65_MOUSE.PEAKS035607.gem.control	3.22244732777237	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
103	TF65_MOUSE.PEAKS037538.sissrs.control	3.2158109005334197	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
105	TF65_MOUSE.PEAKS036315.sissrs.control	3.183511799250601	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
106	TF65_MOUSE.PEAKS037537.sissrs.control	3.1780790311906144	/home/pavel-kravchenko/wlogauc_datasets/mono/TF65.M.txt	MOUSE
