	0	1	2	organism
0	ASCL1_MOUSE.PEAKS035575.pics.control	5.504431002493574	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
3	ASCL1_MOUSE.PEAKS036622.sissrs.control	5.296543464870347	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
4	ASCL1_MOUSE.PEAKS035581.sissrs.control	5.281926789862666	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
5	ASCL1_MOUSE.PEAKS035575.sissrs.control	5.273623019540722	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
6	ASCL1_MOUSE.PEAKS038157.sissrs.control	5.224137924298208	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
10	ASCL1_MOUSE.PEAKS035575.gem.control	4.854120127931731	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
13	ASCL1_MOUSE.PEAKS036292.pics.control	4.805209251987967	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
17	ASCL1_MOUSE.PEAKS035575.macs.control	4.760334723750493	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
20	ASCL1_MOUSE.PEAKS035581.gem.control	4.7379238018707905	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
21	ASCL1_MOUSE.PEAKS035581.macs.control	4.734832351374622	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
29	ASCL1_MOUSE.PEAKS035644.sissrs.control	4.543399570624833	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
30	ASCL1_MOUSE.PEAKS038157.gem.control	4.504658668319972	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
33	ASCL1_MOUSE.PEAKS036292.gem.control	4.383815783043876	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
34	ASCL1_MOUSE.PEAKS036622.gem.control	4.3799350802125065	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
35	ASCL1_MOUSE.PEAKS038157.macs.control	4.361031203731621	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
36	ASCL1_MOUSE.PEAKS035576.gem.control	4.3541066064622855	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
37	ASCL1_MOUSE.PEAKS035644.pics.control	4.3474227223737465	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
38	ASCL1_MOUSE.PEAKS036622.macs.control	4.31676803084626	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
39	ASCL1_MOUSE.PEAKS035576.macs.control	4.237173132206508	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
40	ASCL1_MOUSE.PEAKS035644.macs.control	4.165620481882717	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
41	ASCL1_MOUSE.PEAKS037726.pics.control	4.1640078715972	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
42	ASCL1_MOUSE.PEAKS036292.macs.control	4.117253024038991	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
44	ASCL1_MOUSE.PEAKS035644.gem.control	4.076047655040858	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
45	ASCL1_MOUSE.PEAKS037726.macs.control	3.839768283580977	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
47	ASCL1_MOUSE.PEAKS037726.gem.control	3.694385295137357	/home/pavel-kravchenko/wlogauc_datasets/di/ASCL1.M.txt	MOUSE
