	0	1	2	organism
0	ATF3_HUMAN.PEAKS038558.pics.control	3.8912544540566936	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
1	ATF3_HUMAN.PEAKS038562.pics.control	3.546012393525655	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
2	ATF3_HUMAN.PEAKS033515.sissrs.control	3.5441969432589118	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
3	ATF3_HUMAN.PEAKS033730.sissrs.control	3.5381077414878614	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
4	ATF3_HUMAN.PEAKS033830.sissrs.control	3.5145779923656946	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
5	ATF3_HUMAN.PEAKS038558.gem.control	3.4425384963278463	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
6	ATF3_HUMAN.PEAKS034006.sissrs.control	3.267867073795252	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
7	ATF3_HUMAN.PEAKS038562.gem.control	3.232373112332331	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
8	ATF3_HUMAN.PEAKS033484.pics.control	3.2195359354844952	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
9	ATF3_HUMAN.PEAKS038562.macs.control	3.2105531984206794	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
10	ATF3_HUMAN.PEAKS034010.sissrs.control	3.191600396022108	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
11	ATF3_HUMAN.PEAKS033633.sissrs.control	3.1560358654560874	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
13	ATF3_HUMAN.PEAKS033633.pics.control	3.1003712492312903	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
14	ATF3_HUMAN.PEAKS034006.macs.control	3.0853726019580257	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
15	ATF3_HUMAN.PEAKS034010.macs.control	3.0166269926861435	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
16	ATF3_HUMAN.PEAKS033730.pics.control	3.0161797245525657	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
17	ATF3_HUMAN.PEAKS034010.gem.control	3.01437591969972	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
18	ATF3_HUMAN.PEAKS033730.gem.control	2.9832428966385054	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
19	ATF3_HUMAN.PEAKS033484.gem.control	2.8978586471734147	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
21	ATF3_HUMAN.PEAKS033830.gem.control	2.8702554479600937	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
22	ATF3_HUMAN.PEAKS034006.gem.control	2.852986018013214	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
23	ATF3_HUMAN.PEAKS033730.macs.control	2.839968443004937	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
24	ATF3_HUMAN.PEAKS033723.gem.control	2.8335340282784194	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
26	ATF3_HUMAN.PEAKS033830.macs.control	2.8259298158963384	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
28	ATF3_HUMAN.PEAKS033484.macs.control	2.731797132773152	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
29	ATF3_HUMAN.PEAKS033633.macs.control	2.728952233402597	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
30	ATF3_HUMAN.PEAKS033515.gem.control	2.7117415795053703	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
31	ATF3_HUMAN.PEAKS033633.gem.control	2.6767586154685037	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
33	ATF3_HUMAN.PEAKS033515.macs.control	2.5448006786391204	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
34	ATF3_HUMAN.PEAKS033428.sissrs.control	2.4671524054003005	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
37	ATF3_HUMAN.PEAKS033428.gem.control	2.350498418574094	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
41	ATF3_HUMAN.PEAKS033428.macs.control	2.2000848432715485	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
42	ATF3_HUMAN.PEAKS033428.pics.control	2.1271524041605967	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
43	ATF3_HUMAN.PEAKS038559.macs.control	2.0608924193421347	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
44	ATF3_HUMAN.PEAKS038559.pics.control	2.054237186236198	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
46	ATF3_HUMAN.PEAKS038559.gem.control	2.034602251629192	/home/pavel-kravchenko/wlogauc_datasets/di/ATF3.M.txt	HUMAN
