	0	1	2	organism
0	BRAC_MOUSE.PEAKS036603.gem.control	3.954248617507928	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
1	BRAC_MOUSE.PEAKS036619.gem.control	3.952510597140812	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
2	BRAC_MOUSE.PEAKS036619.pics.control	3.6747082803172897	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
3	BRAC_MOUSE.PEAKS036618.pics.control	3.6555219564922634	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
4	BRAC_MOUSE.PEAKS036619.macs.control	3.6092630625610376	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
5	BRAC_MOUSE.PEAKS036603.macs.control	3.4940009527101084	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
6	BRAC_MOUSE.PEAKS036618.sissrs.control	3.1325889158979905	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
9	BRAC_MOUSE.PEAKS036618.gem.control	3.1062813849722613	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
11	BRAC_MOUSE.PEAKS036619.sissrs.control	2.8409118352147087	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
13	BRAC_MOUSE.PEAKS036618.macs.control	2.689076907526849	/home/pavel-kravchenko/wlogauc_datasets/di/BRAC.M.txt	MOUSE
