	0	1	2	organism
6	CTCFL_HUMAN.PEAKS038304.sissrs.control	5.891706800134032	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
7	CTCFL_HUMAN.PEAKS033554.pics.control	5.7046903575276255	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
8	CTCFL_HUMAN.PEAKS038304.pics.control	5.699965588081554	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
9	CTCFL_HUMAN.PEAKS033505.pics.control	5.668851848168	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
10	CTCFL_HUMAN.PEAKS038295.pics.control	5.534878855963461	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
11	CTCFL_HUMAN.PEAKS033505.sissrs.control	5.466744644770997	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
12	CTCFL_HUMAN.PEAKS038303.pics.control	5.324306930147138	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
13	CTCFL_HUMAN.PEAKS038303.sissrs.control	5.2762718376718	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
14	CTCFL_HUMAN.PEAKS038299.sissrs.control	5.229086393748659	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
15	CTCFL_HUMAN.PEAKS038295.gem.control	5.050700933785548	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
16	CTCFL_HUMAN.PEAKS033554.gem.control	4.977619418001456	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
17	CTCFL_HUMAN.PEAKS038297.gem.control	4.925660603261166	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
18	CTCFL_HUMAN.PEAKS033505.gem.control	4.924073461197798	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
19	CTCFL_HUMAN.PEAKS038304.gem.control	4.9091731030321055	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
20	CTCFL_HUMAN.PEAKS033554.macs.control	4.882596372320053	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
21	CTCFL_HUMAN.PEAKS033505.macs.control	4.867544971893109	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
22	CTCFL_HUMAN.PEAKS038299.pics.control	4.825180918617432	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
23	CTCFL_HUMAN.PEAKS038303.gem.control	4.732176179115122	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
24	CTCFL_HUMAN.PEAKS038297.macs.control	4.569552702313254	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
25	CTCFL_HUMAN.PEAKS034436.gem.control	4.409682200916901	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
26	CTCFL_HUMAN.PEAKS038304.macs.control	4.34585364620994	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
27	CTCFL_HUMAN.PEAKS038303.macs.control	4.04406789182669	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
28	CTCFL_HUMAN.PEAKS038295.macs.control	4.029959786302576	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
29	CTCFL_HUMAN.PEAKS034436.macs.control	2.7990264393534896	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
30	CTCFL_HUMAN.PEAKS034436.sissrs.control	2.6004478979271344	/home/pavel-kravchenko/wlogauc_datasets/di/CTCFL.M.txt	HUMAN
