	0	1	2	organism
0	CTCF_MOUSE.PEAKS035494.pics.control	11.302524412428822	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
1	CTCF_MOUSE.PEAKS035726.pics.control	10.354887332128573	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
2	CTCF_MOUSE.PEAKS035480.pics.control	10.200734330439822	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
3	CTCF_MOUSE.PEAKS035734.pics.control	10.078542462274017	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
4	CTCF_MOUSE.PEAKS035742.pics.control	9.912335908334233	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
5	CTCF_MOUSE.PEAKS035730.pics.control	9.892329916731297	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
6	CTCF_MOUSE.PEAKS035737.pics.control	9.888237810808588	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
7	CTCF_MOUSE.PEAKS035471.pics.control	9.868580052486532	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
8	CTCF_MOUSE.PEAKS035507.pics.control	9.862596088012598	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
9	CTCF_MOUSE.PEAKS035735.pics.control	9.856065035373224	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
10	CTCF_MOUSE.PEAKS035492.pics.control	9.782059853699288	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
11	CTCF_MOUSE.PEAKS037428.pics.control	9.726429435533406	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
12	CTCF_MOUSE.PEAKS038306.pics.control	9.697473834781503	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
13	CTCF_MOUSE.PEAKS035195.pics.control	9.689466297321607	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
14	CTCF_MOUSE.PEAKS036175.pics.control	9.685974164861527	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
15	CTCF_MOUSE.PEAKS036175.gem.control	9.679641737833043	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
16	CTCF_MOUSE.PEAKS035494.sissrs.control	9.66518741981182	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
17	CTCF_MOUSE.PEAKS035731.pics.control	9.612169037755347	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
18	CTCF_MOUSE.PEAKS035523.pics.control	9.584016895333738	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
19	CTCF_MOUSE.PEAKS035739.pics.control	9.554951052079264	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	MOUSE
