	0	1	2	organism
0	ELF1_HUMAN.PEAKS037491.sissrs.control	6.4854679977565945	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
1	ELF1_HUMAN.PEAKS033493.pics.control	6.212649933281411	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
2	ELF1_HUMAN.PEAKS033493.sissrs.control	6.064759077448023	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
3	ELF1_HUMAN.PEAKS033715.pics.control	5.918869571155227	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
4	ELF1_HUMAN.PEAKS037495.gem.control	5.8837575007010425	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
5	ELF1_HUMAN.PEAKS033449.pics.control	5.820640215210867	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
7	ELF1_HUMAN.PEAKS033449.sissrs.control	5.806180318615327	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
8	ELF1_HUMAN.PEAKS037491.gem.control	5.796031597934157	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
9	ELF1_HUMAN.PEAKS037495.macs.control	5.782795530718659	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
10	ELF1_HUMAN.PEAKS037491.macs.control	5.696555873708391	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
11	ELF1_HUMAN.PEAKS033715.sissrs.control	5.606121934111131	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
12	ELF1_HUMAN.PEAKS033888.pics.control	5.550662335988994	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
13	ELF1_HUMAN.PEAKS033892.sissrs.control	5.515097808734312	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
14	ELF1_HUMAN.PEAKS034068.sissrs.control	5.4885813520337745	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
15	ELF1_HUMAN.PEAKS033449.gem.control	5.455212684204147	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
16	ELF1_HUMAN.PEAKS033888.sissrs.control	5.447740864360436	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
17	ELF1_HUMAN.PEAKS034067.pics.control	5.413805651276584	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
18	ELF1_HUMAN.PEAKS033892.pics.control	5.4050580110022866	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
19	ELF1_HUMAN.PEAKS034068.macs.control	5.361736007009554	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
20	ELF1_HUMAN.PEAKS034068.gem.control	5.3582178327046535	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
21	ELF1_HUMAN.PEAKS034067.sissrs.control	5.331822038713032	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
23	ELF1_HUMAN.PEAKS034067.gem.control	5.304053209358758	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
24	ELF1_HUMAN.PEAKS033715.gem.control	5.301941966414646	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
25	ELF1_HUMAN.PEAKS033449.macs.control	5.266342278647912	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
26	ELF1_HUMAN.PEAKS033638.sissrs.control	5.2004393359841865	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
28	ELF1_HUMAN.PEAKS033638.pics.control	5.182529166147144	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
30	ELF1_HUMAN.PEAKS033958.gem.control	5.164963307556219	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
31	ELF1_HUMAN.PEAKS033892.gem.control	5.11278720155988	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
32	ELF1_HUMAN.PEAKS033958.sissrs.control	5.061626307185244	/home/pavel-kravchenko/wlogauc_datasets/di/ELF1.M.txt	HUMAN
