	0	1	2	organism
11	ESR1_HUMAN.PEAKS033093.pics.control	6.4346334266884675	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
12	ESR1_HUMAN.PEAKS034519.gem.control	6.377385877905233	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
15	ESR1_HUMAN.PEAKS034519.macs.control	6.200989397982168	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
20	ESR1_HUMAN.PEAKS034593.gem.control	5.906720171538381	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
21	ESR1_HUMAN.PEAKS034658.pics.control	5.846991515893012	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
22	ESR1_HUMAN.PEAKS037361.pics.control	5.82177141506607	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
23	ESR1_HUMAN.PEAKS034592.gem.control	5.7996854403867895	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
25	ESR1_HUMAN.PEAKS037507.pics.control	5.756658507894229	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
26	ESR1_HUMAN.PEAKS036994.pics.control	5.752547463664354	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
27	ESR1_HUMAN.PEAKS033137.pics.control	5.7493539084473655	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
29	ESR1_HUMAN.PEAKS034911.gem.control	5.701476602231129	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
30	ESR1_HUMAN.PEAKS038042.pics.control	5.670008994886568	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
31	ESR1_HUMAN.PEAKS034989.pics.control	5.662617095005122	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
32	ESR1_HUMAN.PEAKS038044.pics.control	5.646665250832357	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
33	ESR1_HUMAN.PEAKS034592.macs.control	5.646414710782702	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
34	ESR1_HUMAN.PEAKS037506.pics.control	5.636095453570112	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
35	ESR1_HUMAN.PEAKS037314.gem.control	5.614227248708617	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
36	ESR1_HUMAN.PEAKS037334.pics.control	5.594787339335335	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
37	ESR1_HUMAN.PEAKS039115.gem.control	5.593978469512263	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
39	ESR1_HUMAN.PEAKS038439.pics.control	5.5626455380221325	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
40	ESR1_HUMAN.PEAKS033129.pics.control	5.539413808823283	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
41	ESR1_HUMAN.PEAKS036994.sissrs.control	5.533083177025678	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
42	ESR1_HUMAN.PEAKS038044.gem.control	5.522707893600197	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
43	ESR1_HUMAN.PEAKS037402.pics.control	5.518592125132117	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
45	ESR1_HUMAN.PEAKS037401.pics.control	5.5104486011547875	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
46	ESR1_HUMAN.PEAKS039115.pics.control	5.508017882094789	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
48	ESR1_HUMAN.PEAKS034520.gem.control	5.468366536484819	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
50	ESR1_HUMAN.PEAKS034657.pics.control	5.459165925644285	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
51	ESR1_HUMAN.PEAKS033093.gem.control	5.458974667005142	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
52	ESR1_HUMAN.PEAKS037508.pics.control	5.456858028710113	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
53	ESR1_HUMAN.PEAKS034989.gem.control	5.414002611347829	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
54	ESR1_HUMAN.PEAKS038948.pics.control	5.411618765476123	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
56	ESR1_HUMAN.PEAKS038547.pics.control	5.405927842075213	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
57	ESR1_HUMAN.PEAKS033133.gem.control	5.399266893037368	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
58	ESR1_HUMAN.PEAKS034596.pics.control	5.3972919714005	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
59	ESR1_HUMAN.PEAKS037390.pics.control	5.397027138989688	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
60	ESR1_HUMAN.PEAKS034516.gem.control	5.394525603873618	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
62	ESR1_HUMAN.PEAKS034592.sissrs.control	5.378728550425472	/home/pavel-kravchenko/wlogauc_datasets/di/ESR1.M.txt	HUMAN
