	0	1	2	organism
0	FOSL2_HUMAN.PEAKS033840.sissrs.control	7.378388600076049	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
1	FOSL2_HUMAN.PEAKS033717.sissrs.control	7.375378328609152	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
2	FOSL2_HUMAN.PEAKS033717.pics.control	7.04961275371041	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
3	FOSL2_HUMAN.PEAKS033840.pics.control	6.788916565603322	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
4	FOSL2_HUMAN.PEAKS033934.sissrs.control	6.402667538098422	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
5	FOSL2_HUMAN.PEAKS033537.sissrs.control	6.292798009493781	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
6	FOSL2_HUMAN.PEAKS033934.pics.control	6.162821245923547	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
7	FOSL2_HUMAN.PEAKS034026.pics.control	6.082914318723444	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
8	FOSL2_HUMAN.PEAKS034026.sissrs.control	6.080280238562839	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
9	FOSL2_HUMAN.PEAKS033739.sissrs.control	6.078569035139486	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
10	FOSL2_HUMAN.PEAKS033910.pics.control	6.062726455779115	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
11	FOSL2_HUMAN.PEAKS033537.gem.control	6.0134985353847465	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
12	FOSL2_HUMAN.PEAKS033739.pics.control	5.938263402309266	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
13	FOSL2_HUMAN.PEAKS033910.sissrs.control	5.852084343929176	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
14	FOSL2_HUMAN.PEAKS033840.gem.control	5.8247260891674735	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
15	FOSL2_HUMAN.PEAKS038162.gem.control	5.800002088904464	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
16	FOSL2_HUMAN.PEAKS033934.gem.control	5.613279247853451	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
17	FOSL2_HUMAN.PEAKS033537.macs.control	5.607482756965015	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
18	FOSL2_HUMAN.PEAKS033910.gem.control	5.5913372535418535	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
19	FOSL2_HUMAN.PEAKS033934.macs.control	5.588521686532422	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
20	FOSL2_HUMAN.PEAKS038162.macs.control	5.5723438026165155	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
21	FOSL2_HUMAN.PEAKS033739.gem.control	5.524599882254647	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
22	FOSL2_HUMAN.PEAKS033840.macs.control	5.356234246793929	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
23	FOSL2_HUMAN.PEAKS033910.macs.control	5.1638343553029715	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
26	FOSL2_HUMAN.PEAKS039159.macs.control	4.330521636853364	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
29	FOSL2_HUMAN.PEAKS039159.pics.control	4.101898059456352	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
31	FOSL2_HUMAN.PEAKS039159.gem.control	2.6340428333354327	/home/pavel-kravchenko/wlogauc_datasets/di/FOSL2.M.txt	HUMAN
