	0	1	2	organism
0	FOS_HUMAN.PEAKS033735.sissrs.control	6.436906830235841	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
1	FOS_HUMAN.PEAKS033735.gem.control	5.799888404600122	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
2	FOS_HUMAN.PEAKS033721.pics.control	5.535342762511698	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
3	FOS_HUMAN.PEAKS033738.pics.control	5.291815517044227	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
4	FOS_HUMAN.PEAKS033116.pics.control	5.272453877534972	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
5	FOS_HUMAN.PEAKS033366.pics.control	5.237749577284344	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
6	FOS_HUMAN.PEAKS033735.macs.control	5.209575265096327	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
7	FOS_HUMAN.PEAKS033116.sissrs.control	5.206810498052217	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
8	FOS_HUMAN.PEAKS033738.sissrs.control	5.1556343299250935	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
9	FOS_HUMAN.PEAKS033366.gem.control	4.548716199921071	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
10	FOS_HUMAN.PEAKS033366.macs.control	4.445591000475834	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
11	FOS_HUMAN.PEAKS033721.gem.control	4.443388124980625	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
12	FOS_HUMAN.PEAKS033721.macs.control	4.318293812220603	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
13	FOS_HUMAN.PEAKS037768.macs.control	3.918253456009982	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
14	FOS_HUMAN.PEAKS037768.gem.control	3.8729315271314952	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
15	FOS_HUMAN.PEAKS033156.sissrs.control	3.828107183724733	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
27	FOS_HUMAN.PEAKS037769.macs.control	3.2841261443581935	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
32	FOS_HUMAN.PEAKS033156.macs.control	2.9313748292211166	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
33	FOS_HUMAN.PEAKS037769.gem.control	2.9222000244766013	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
47	FOS_HUMAN.PEAKS033091.macs.control	2.6087442965334744	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
50	FOS_HUMAN.PEAKS033091.gem.control	2.358708730667787	/home/pavel-kravchenko/wlogauc_datasets/di/FOS.M.txt	HUMAN
