	0	1	2	organism
0	FOXA2_MOUSE.PEAKS039579.sissrs.control	5.753789726662776	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
1	FOXA2_MOUSE.PEAKS035249.sissrs.control	5.7354317964310075	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
2	FOXA2_MOUSE.PEAKS035678.sissrs.control	5.641453059930378	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
3	FOXA2_MOUSE.PEAKS035249.pics.control	5.546070384523941	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
4	FOXA2_MOUSE.PEAKS037143.sissrs.control	5.309176286384882	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
5	FOXA2_MOUSE.PEAKS039579.pics.control	5.187566138011811	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
6	FOXA2_MOUSE.PEAKS039579.gem.control	5.146774537784462	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
12	FOXA2_MOUSE.PEAKS039579.macs.control	5.008993234930212	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
13	FOXA2_MOUSE.PEAKS035249.macs.control	4.970313199473923	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
14	FOXA2_MOUSE.PEAKS035564.sissrs.control	4.8485947853540186	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
15	FOXA2_MOUSE.PEAKS035249.gem.control	4.80737573078921	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
16	FOXA2_MOUSE.PEAKS037143.pics.control	4.791630234650476	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
19	FOXA2_MOUSE.PEAKS035678.gem.control	4.603098331651423	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
20	FOXA2_MOUSE.PEAKS035340.macs.control	4.506616865087519	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
21	FOXA2_MOUSE.PEAKS038234.sissrs.control	4.478567160205323	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
22	FOXA2_MOUSE.PEAKS035340.gem.control	4.4513885798050055	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
23	FOXA2_MOUSE.PEAKS035602.gem.control	4.442584386689465	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
24	FOXA2_MOUSE.PEAKS038234.gem.control	4.4040619029355526	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
25	FOXA2_MOUSE.PEAKS035564.pics.control	4.384372842670082	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
26	FOXA2_MOUSE.PEAKS035678.macs.control	4.3770842574493996	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
31	FOXA2_MOUSE.PEAKS037341.gem.control	4.322833371040802	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
32	FOXA2_MOUSE.PEAKS037341.macs.control	4.305409361446558	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
34	FOXA2_MOUSE.PEAKS038236.macs.control	4.268858177284565	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
36	FOXA2_MOUSE.PEAKS035564.gem.control	4.192310399673465	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
37	FOXA2_MOUSE.PEAKS038236.gem.control	4.187215554673272	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
39	FOXA2_MOUSE.PEAKS035564.macs.control	4.1838162414023845	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
46	FOXA2_MOUSE.PEAKS038234.macs.control	4.014795420954334	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
48	FOXA2_MOUSE.PEAKS037340.macs.control	3.95726634681983	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
49	FOXA2_MOUSE.PEAKS035599.pics.control	3.9456267123777526	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
50	FOXA2_MOUSE.PEAKS035602.macs.control	3.8616076033405946	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
51	FOXA2_MOUSE.PEAKS037340.gem.control	3.853460759561444	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
52	FOXA2_MOUSE.PEAKS035599.sissrs.control	2.535910965063024	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
53	FOXA2_MOUSE.PEAKS035601.gem.control	2.519759398354138	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
54	FOXA2_MOUSE.PEAKS035601.macs.control	1.326966981646468	/home/pavel-kravchenko/wlogauc_datasets/di/FOXA2.M.txt	MOUSE
