	0	1	2	organism
0	HSF1_HUMAN.PEAKS034814.pics.control	8.415859270784667	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
1	HSF1_HUMAN.PEAKS034912.pics.control	7.8763585435960755	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
2	HSF1_HUMAN.PEAKS034804.pics.control	7.219102066237137	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
3	HSF1_HUMAN.PEAKS034806.gem.control	7.134441182140034	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
4	HSF1_HUMAN.PEAKS034614.gem.control	7.115313642614383	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
5	HSF1_HUMAN.PEAKS034804.gem.control	6.934300839891847	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
6	HSF1_HUMAN.PEAKS034819.gem.control	6.9185280701313685	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
7	HSF1_HUMAN.PEAKS034814.gem.control	6.910744660610331	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
9	HSF1_HUMAN.PEAKS034804.sissrs.control	6.871119908211878	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
10	HSF1_HUMAN.PEAKS037406.macs.control	6.858448908650267	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
11	HSF1_HUMAN.PEAKS034913.gem.control	6.849401932947052	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
12	HSF1_HUMAN.PEAKS034804.macs.control	6.810553102924671	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
14	HSF1_HUMAN.PEAKS034810.gem.control	6.7184543717871295	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
16	HSF1_HUMAN.PEAKS037406.gem.control	6.7067674962572	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
17	HSF1_HUMAN.PEAKS034817.gem.control	6.621953888786721	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
18	HSF1_HUMAN.PEAKS037406.pics.control	6.614177034821188	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
19	HSF1_HUMAN.PEAKS037405.gem.control	6.571313943004688	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
20	HSF1_HUMAN.PEAKS034811.gem.control	6.48363112001967	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
21	HSF1_HUMAN.PEAKS037405.macs.control	6.477909269183911	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
24	HSF1_HUMAN.PEAKS034812.gem.control	6.424760614886724	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
28	HSF1_HUMAN.PEAKS037405.pics.control	6.385675405648326	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
33	HSF1_HUMAN.PEAKS034814.macs.control	6.221916498599411	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
34	HSF1_HUMAN.PEAKS034803.gem.control	6.166504533803054	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
36	HSF1_HUMAN.PEAKS034913.macs.control	6.1363725234254405	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
37	HSF1_HUMAN.PEAKS034912.gem.control	6.086391728961013	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
39	HSF1_HUMAN.PEAKS034813.gem.control	6.028019958765242	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
40	HSF1_HUMAN.PEAKS034912.macs.control	6.0159341604910175	/home/pavel-kravchenko/wlogauc_datasets/di/HSF1.M.txt	HUMAN
