	0	1	2	organism
80	REST_MOUSE.PEAKS035706.gem.control	11.810491064873009	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
82	REST_MOUSE.PEAKS036296.gem.control	11.733204397903085	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
84	REST_MOUSE.PEAKS035706.macs.control	11.642044654018278	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
85	REST_MOUSE.PEAKS035707.pics.control	11.638595070853627	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
88	REST_MOUSE.PEAKS035705.gem.control	11.554496148361533	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
90	REST_MOUSE.PEAKS036943.pics.control	11.515597954394035	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
93	REST_MOUSE.PEAKS036296.macs.control	11.491729629100945	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
97	REST_MOUSE.PEAKS035705.macs.control	11.438604850317724	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
105	REST_MOUSE.PEAKS035704.gem.control	11.167086964717779	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
107	REST_MOUSE.PEAKS036719.gem.control	11.075850521654656	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
109	REST_MOUSE.PEAKS035709.macs.control	11.047783968223527	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
112	REST_MOUSE.PEAKS036296.pics.control	10.948064248924	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
114	REST_MOUSE.PEAKS035704.macs.control	10.894038364037659	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
115	REST_MOUSE.PEAKS036943.gem.control	10.873588888615883	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
120	REST_MOUSE.PEAKS036719.macs.control	10.587308433620613	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
121	REST_MOUSE.PEAKS035707.gem.control	10.549851541494306	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
122	REST_MOUSE.PEAKS035402.gem.control	10.538589824834665	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
127	REST_MOUSE.PEAKS035709.gem.control	10.470025015059148	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
128	REST_MOUSE.PEAKS035402.macs.control	10.454920438918313	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
134	REST_MOUSE.PEAKS036943.macs.control	10.291769391482196	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
140	REST_MOUSE.PEAKS035216.pics.control	10.120799681025566	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
143	REST_MOUSE.PEAKS035216.macs.control	9.90259574802019	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
145	REST_MOUSE.PEAKS035216.gem.control	9.675188989255775	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
146	REST_MOUSE.PEAKS035706.sissrs.control	9.596663051264708	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
149	REST_MOUSE.PEAKS035704.pics.control	9.489375292803382	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
151	REST_MOUSE.PEAKS035708.gem.control	9.347900030010026	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
153	REST_MOUSE.PEAKS035709.sissrs.control	9.1539010525449	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
154	REST_MOUSE.PEAKS035708.macs.control	9.09099588226441	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
155	REST_MOUSE.PEAKS035705.sissrs.control	8.931947645067828	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
158	REST_MOUSE.PEAKS036296.sissrs.control	8.694152550236844	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
161	REST_MOUSE.PEAKS035704.sissrs.control	8.390792275912956	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
165	REST_MOUSE.PEAKS036943.sissrs.control	7.881748173384332	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
171	REST_MOUSE.PEAKS035216.sissrs.control	6.618207253172437	/home/pavel-kravchenko/wlogauc_datasets/di/REST.M.txt	MOUSE
