	0	1	2	organism
0	RUNX2_MOUSE.PEAKS039021.sissrs.control	3.7041739179586255	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
1	RUNX2_MOUSE.PEAKS039029.pics.control	3.6886609580499847	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
2	RUNX2_MOUSE.PEAKS036552.gem.control	3.6428254418119503	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
3	RUNX2_MOUSE.PEAKS039043.pics.control	3.6170851485674635	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
4	RUNX2_MOUSE.PEAKS036484.gem.control	3.6084550634275514	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
5	RUNX2_MOUSE.PEAKS039021.pics.control	3.604414546063079	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
6	RUNX2_MOUSE.PEAKS039029.sissrs.control	3.5998225111583206	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
7	RUNX2_MOUSE.PEAKS039043.sissrs.control	3.5815291636094133	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
9	RUNX2_MOUSE.PEAKS036552.macs.control	3.479703201370868	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
10	RUNX2_MOUSE.PEAKS036575.pics.control	3.389968129847688	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
11	RUNX2_MOUSE.PEAKS036484.macs.control	3.3677412017485326	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
12	RUNX2_MOUSE.PEAKS036486.gem.control	3.338815691950893	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
14	RUNX2_MOUSE.PEAKS036575.sissrs.control	3.3143330605126424	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
15	RUNX2_MOUSE.PEAKS036575.gem.control	3.3137840068407503	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
17	RUNX2_MOUSE.PEAKS036486.macs.control	3.2751578724939305	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
18	RUNX2_MOUSE.PEAKS036576.pics.control	3.244999314252272	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
19	RUNX2_MOUSE.PEAKS036558.macs.control	3.216619795434321	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
20	RUNX2_MOUSE.PEAKS036558.gem.control	3.087743529341032	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
21	RUNX2_MOUSE.PEAKS039037.macs.control	2.8930143036618965	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
22	RUNX2_MOUSE.PEAKS039043.macs.control	2.88495421281882	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
23	RUNX2_MOUSE.PEAKS036576.gem.control	2.857888282471214	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
24	RUNX2_MOUSE.PEAKS036575.macs.control	2.8152476243183138	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
25	RUNX2_MOUSE.PEAKS036577.pics.control	2.643457709730282	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
26	RUNX2_MOUSE.PEAKS036577.gem.control	2.4067555529477622	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
27	RUNX2_MOUSE.PEAKS036577.macs.control	2.1209177962210517	/home/pavel-kravchenko/wlogauc_datasets/di/RUNX2.M.txt	MOUSE
