	0	1	2	organism
0	SIX2_HUMAN.PEAKS038677.gem.control	4.6370399267946345	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
1	SIX2_HUMAN.PEAKS038678.pics.control	4.630675570118023	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
2	SIX2_HUMAN.PEAKS038677.macs.control	4.562666260054487	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
3	SIX2_HUMAN.PEAKS038676.pics.control	4.537636073553256	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
4	SIX2_HUMAN.PEAKS038539.pics.control	4.408117052196322	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
5	SIX2_HUMAN.PEAKS038679.pics.control	4.357024008419593	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
9	SIX2_HUMAN.PEAKS038679.gem.control	4.270384410646349	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
10	SIX2_HUMAN.PEAKS038678.gem.control	4.263659519042548	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
11	SIX2_HUMAN.PEAKS038539.gem.control	4.260763051630478	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
12	SIX2_HUMAN.PEAKS038677.sissrs.control	4.252266743110399	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
13	SIX2_HUMAN.PEAKS038676.gem.control	4.220048277026877	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
14	SIX2_HUMAN.PEAKS038678.macs.control	4.071384001633445	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
15	SIX2_HUMAN.PEAKS038539.macs.control	4.052158433538846	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
16	SIX2_HUMAN.PEAKS038676.macs.control	4.050002304818719	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
18	SIX2_HUMAN.PEAKS038679.macs.control	4.01133818877545	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
19	SIX2_HUMAN.PEAKS038676.sissrs.control	3.969994747812073	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
22	SIX2_HUMAN.PEAKS038678.sissrs.control	3.7579424647183597	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
23	SIX2_HUMAN.PEAKS038679.sissrs.control	3.5929023977748527	/home/pavel-kravchenko/wlogauc_datasets/di/SIX2.M.txt	HUMAN
