	0	1	2	organism
3	STAT4_MOUSE.PEAKS035214.sissrs.control	3.8640844075519754	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
4	STAT4_MOUSE.PEAKS035214.pics.control	3.7334585094665025	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
5	STAT4_MOUSE.PEAKS035301.pics.control	3.640914971070039	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
6	STAT4_MOUSE.PEAKS035301.gem.control	3.6018756711511943	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
7	STAT4_MOUSE.PEAKS035301.macs.control	3.451420205716746	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
8	STAT4_MOUSE.PEAKS035214.gem.control	3.2758460484330816	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
9	STAT4_MOUSE.PEAKS035214.macs.control	3.050686189512441	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
13	STAT4_MOUSE.PEAKS035213.gem.control	1.3205751151245873	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
14	STAT4_MOUSE.PEAKS035213.macs.control	1.243119248798027	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
16	STAT4_MOUSE.PEAKS035213.sissrs.control	1.1176159369577199	/home/pavel-kravchenko/wlogauc_datasets/di/STAT4.M.txt	MOUSE
