	0	1	2	organism
99	CTCF_HUMAN.PEAKS033951.gem.control	8.704157500847275	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
125	CTCF_HUMAN.PEAKS034870.gem.control	8.642710153638443	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
159	CTCF_HUMAN.PEAKS034557.gem.control	8.532406595562152	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
192	CTCF_HUMAN.PEAKS034870.macs.control	8.428916417125356	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
219	CTCF_HUMAN.PEAKS033951.macs.control	8.341781052341734	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
240	CTCF_HUMAN.PEAKS034660.macs.control	8.256766673582286	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
245	CTCF_HUMAN.PEAKS034938.macs.control	8.24329453707988	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
253	CTCF_HUMAN.PEAKS033146.gem.control	8.225060842770077	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
261	CTCF_HUMAN.PEAKS038296.gem.control	8.202625550767587	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
262	CTCF_HUMAN.PEAKS033809.gem.control	8.202618194870857	/home/pavel-kravchenko/wlogauc_datasets/di/CTCF.M.txt	HUMAN
