	0	1	2	organism
18	TF65_MOUSE.PEAKS037535.gem.control	4.54856523055944	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
39	TF65_MOUSE.PEAKS035548.gem.control	4.197070982956457	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
63	TF65_MOUSE.PEAKS037928.macs.control	3.8764898303365434	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
65	TF65_MOUSE.PEAKS037928.gem.control	3.8660752894941126	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
67	TF65_MOUSE.PEAKS037927.gem.control	3.860659451241972	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
74	TF65_MOUSE.PEAKS037927.macs.control	3.8049350585634416	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
77	TF65_MOUSE.PEAKS037929.gem.control	3.774434024296852	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
83	TF65_MOUSE.PEAKS037930.gem.control	3.6710263052745984	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
87	TF65_MOUSE.PEAKS036321.gem.control	3.6290567479368483	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
95	TF65_MOUSE.PEAKS036321.macs.control	3.5579489078582607	/home/pavel-kravchenko/wlogauc_datasets/di/TF65.M.txt	MOUSE
