	0	1	2	organism
10	ASCL1_MOUSE.PEAKS035575.gem.control	4.366919341993435	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
15	ASCL1_MOUSE.PEAKS035575.macs.control	4.2587084254047225	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
16	ASCL1_MOUSE.PEAKS035581.gem.control	4.253041524478816	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
17	ASCL1_MOUSE.PEAKS035581.macs.control	4.2512187487161865	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
29	ASCL1_MOUSE.PEAKS038157.gem.control	4.039238779901815	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
31	ASCL1_MOUSE.PEAKS036622.gem.control	4.028902039679328	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
34	ASCL1_MOUSE.PEAKS036292.gem.control	4.015528611934332	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
35	ASCL1_MOUSE.PEAKS035576.gem.control	3.979201424729472	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
36	ASCL1_MOUSE.PEAKS036622.macs.control	3.9644011467582585	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
38	ASCL1_MOUSE.PEAKS038157.macs.control	3.9107549385088856	/home/pavelkrav/wlogauc_datasets/mono/ASCL1.M.txt	MOUSE
