	0	1	2	organism
5	ATF3_HUMAN.PEAKS038558.gem.control	3.4425384963278463	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
7	ATF3_HUMAN.PEAKS038562.gem.control	3.232373112332331	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
9	ATF3_HUMAN.PEAKS038562.macs.control	3.2105531984206794	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
14	ATF3_HUMAN.PEAKS034006.macs.control	3.0853726019580257	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
15	ATF3_HUMAN.PEAKS034010.macs.control	3.0166269926861435	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
17	ATF3_HUMAN.PEAKS034010.gem.control	3.01437591969972	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
18	ATF3_HUMAN.PEAKS033730.gem.control	2.9832428966385054	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
19	ATF3_HUMAN.PEAKS033484.gem.control	2.8978586471734147	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
21	ATF3_HUMAN.PEAKS033830.gem.control	2.8702554479600937	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
22	ATF3_HUMAN.PEAKS034006.gem.control	2.852986018013214	/home/pavelkrav/wlogauc_datasets/di/ATF3.M.txt	HUMAN
