	0	1	2	organism
2	IRF4_MOUSE.PEAKS039245.gem.control	6.636007450083072	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
4	IRF4_MOUSE.PEAKS039246.gem.control	6.472308883500036	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
5	IRF4_MOUSE.PEAKS039245.macs.control	6.337855669097612	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
6	IRF4_MOUSE.PEAKS039246.macs.control	6.087383424292778	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
7	IRF4_MOUSE.PEAKS036425.gem.control	6.078770563152819	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
10	IRF4_MOUSE.PEAKS038373.gem.control	5.147161081412328	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
14	IRF4_MOUSE.PEAKS036425.macs.control	4.956592026321676	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
15	IRF4_MOUSE.PEAKS038374.gem.control	4.920099722471974	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
22	IRF4_MOUSE.PEAKS038374.macs.control	4.435986377539699	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
24	IRF4_MOUSE.PEAKS038373.macs.control	4.011031145887896	/home/pavelkrav/wlogauc_datasets/mono/IRF4.M.txt	MOUSE
