	0	1	2	organism
54	NANOG_MOUSE.PEAKS037246.gem.control	4.296863525056239	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
56	NANOG_MOUSE.PEAKS037246.macs.control	4.191960163999882	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
57	NANOG_MOUSE.PEAKS035649.gem.control	4.113453685777263	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
58	NANOG_MOUSE.PEAKS037125.macs.control	4.0519236433670685	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
59	NANOG_MOUSE.PEAKS035434.macs.control	4.050305227854064	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
60	NANOG_MOUSE.PEAKS037128.gem.control	4.048674456074522	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
61	NANOG_MOUSE.PEAKS037125.gem.control	3.9933586141605217	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
62	NANOG_MOUSE.PEAKS035649.macs.control	3.9864337008233774	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
63	NANOG_MOUSE.PEAKS035434.gem.control	3.967527115809169	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
64	NANOG_MOUSE.PEAKS037128.macs.control	3.864255688556677	/home/pavelkrav/wlogauc_datasets/mono/NANOG.M.txt	MOUSE
