	0	1	2	organism
46	NR1H3_MOUSE.PEAKS035806.gem.control	3.6407182887825456	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
47	NR1H3_MOUSE.PEAKS035808.pics.control	3.634608001645239	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
48	NR1H3_MOUSE.PEAKS035806.pics.control	3.604421443907415	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
49	NR1H3_MOUSE.PEAKS035808.gem.control	3.5807413570014615	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
50	NR1H3_MOUSE.PEAKS035806.macs.control	3.5142507032963914	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
51	NR1H3_MOUSE.PEAKS035807.pics.control	3.4476695528060275	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
52	NR1H3_MOUSE.PEAKS035808.macs.control	3.404355970638725	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
53	NR1H3_MOUSE.PEAKS035807.gem.control	3.4031875754123906	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
54	NR1H3_MOUSE.PEAKS035807.macs.control	3.3492565067382634	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
0	NR1H3_MOUSE.PEAKS035808.gem.control	3.3439278346293877	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
1	NR1H3_MOUSE.PEAKS035808.pics.control	3.2641561367462377	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
2	NR1H3_MOUSE.PEAKS035808.macs.control	3.1733223957174936	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
3	NR1H3_MOUSE.PEAKS035807.pics.control	3.1656290124358617	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
4	NR1H3_MOUSE.PEAKS035806.pics.control	3.1086242668081034	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
5	NR1H3_MOUSE.PEAKS035807.gem.control	3.0734104461866285	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
6	NR1H3_MOUSE.PEAKS035806.macs.control	3.0477587986972083	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
7	NR1H3_MOUSE.PEAKS035807.macs.control	3.0431281578973435	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
23	NR1H3_MOUSE.PEAKS035808.gem.control	3.018188241978114	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
24	NR1H3_MOUSE.PEAKS035806.macs.control	2.9874379639529947	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
25	NR1H3_MOUSE.PEAKS035808.pics.control	2.9816105791277643	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
8	NR1H3_MOUSE.PEAKS035806.gem.control	2.964281870542693	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
26	NR1H3_MOUSE.PEAKS035806.pics.control	2.9616012002660925	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
27	NR1H3_MOUSE.PEAKS035806.gem.control	2.9200701100136968	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
28	NR1H3_MOUSE.PEAKS035807.pics.control	2.900193807585913	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
29	NR1H3_MOUSE.PEAKS035808.macs.control	2.8999647919056453	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
30	NR1H3_MOUSE.PEAKS035807.gem.control	2.8800541117148515	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
55	NR1H3_MOUSE.PEAKS035807.sissrs.control	2.8477760157306586	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.T.txt	MOUSE
31	NR1H3_MOUSE.PEAKS035807.macs.control	2.8429010004526964	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
11	NR1H3_MOUSE.PEAKS035807.sissrs.control	2.6311020783773467	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.M.txt	MOUSE
32	NR1H3_MOUSE.PEAKS035807.sissrs.control	2.6150320359258123	/home/pavel-kravchenko/wlogauc_datasets/mono/NR1H3.S.txt	MOUSE
