	0	1	2	organism
0	PPARA_MOUSE.PEAKS037463.pics.control	4.061228682945689	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
1	PPARA_MOUSE.PEAKS037463.gem.control	4.013128695981953	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
2	PPARA_MOUSE.PEAKS037462.gem.control	3.876489326996007	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
3	PPARA_MOUSE.PEAKS037463.macs.control	3.6729385139695148	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
4	PPARA_MOUSE.PEAKS037703.pics.control	3.652888841068367	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
5	PPARA_MOUSE.PEAKS035810.gem.control	3.520235985811885	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
6	PPARA_MOUSE.PEAKS037462.macs.control	3.50438346092274	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
7	PPARA_MOUSE.PEAKS037703.gem.control	3.422353244180436	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
8	PPARA_MOUSE.PEAKS035810.macs.control	3.3774585550716587	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
9	PPARA_MOUSE.PEAKS037703.macs.control	3.2929873308488387	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
10	PPARA_MOUSE.PEAKS035809.gem.control	3.2628582074484846	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
11	PPARA_MOUSE.PEAKS035809.macs.control	3.1134751842184327	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
12	PPARA_MOUSE.PEAKS037703.sissrs.control	3.0590653741853924	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
25	PPARA_MOUSE.PEAKS037463.pics.control	2.6272382393832334	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
26	PPARA_MOUSE.PEAKS035809.gem.control	2.563601829640373	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
27	PPARA_MOUSE.PEAKS035810.macs.control	2.522204612294857	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
28	PPARA_MOUSE.PEAKS035810.gem.control	2.513675756483757	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
29	PPARA_MOUSE.PEAKS035809.macs.control	2.5103742804845526	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
30	PPARA_MOUSE.PEAKS037462.macs.control	2.5035318690634325	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
31	PPARA_MOUSE.PEAKS037462.gem.control	2.5007502992859023	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
32	PPARA_MOUSE.PEAKS037463.macs.control	2.4691981216934766	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
33	PPARA_MOUSE.PEAKS037463.gem.control	2.4051523473291314	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
34	PPARA_MOUSE.PEAKS037703.pics.control	2.348140969018933	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
35	PPARA_MOUSE.PEAKS037703.sissrs.control	2.330442270286311	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
36	PPARA_MOUSE.PEAKS037703.gem.control	2.1217332143030028	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
37	PPARA_MOUSE.PEAKS037703.macs.control	2.0655994288765305	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
38	PPARA_MOUSE.PEAKS037465.macs.control	1.763008941888326	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
39	PPARA_MOUSE.PEAKS037465.gem.control	1.6792624970959211	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
40	PPARA_MOUSE.PEAKS037464.gem.control	1.6373686803242982	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
13	PPARA_MOUSE.PEAKS037465.macs.control	1.6219059664619853	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
41	PPARA_MOUSE.PEAKS037464.macs.control	1.6156090050128031	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
14	PPARA_MOUSE.PEAKS037465.gem.control	1.5042333425627643	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
15	PPARA_MOUSE.PEAKS037464.macs.control	1.4745083504060492	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
16	PPARA_MOUSE.PEAKS037464.gem.control	1.4127155341317017	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
43	PPARA_MOUSE.PEAKS037580.gem.control	1.0193531975165375	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
22	PPARA_MOUSE.PEAKS037580.gem.control	1.0037909719052522	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
44	PPARA_MOUSE.PEAKS037578.gem.control	0.9851045121155232	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
48	PPARA_MOUSE.PEAKS037578.pics.control	0.9524320182760708	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.S.txt	MOUSE
23	PPARA_MOUSE.PEAKS037578.gem.control	0.936414527760262	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
24	PPARA_MOUSE.PEAKS037578.pics.control	0.9010749870010484	/home/pavel-kravchenko/wlogauc_datasets/mono/PPARA.M.txt	MOUSE
