	0	1	2	organism
8	RUNX3_MOUSE.PEAKS036337.macs.control	3.961468258243491	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
9	RUNX3_MOUSE.PEAKS036337.gem.control	3.952006656419808	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
10	RUNX3_MOUSE.PEAKS036338.gem.control	3.898294487855121	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
12	RUNX3_MOUSE.PEAKS036338.macs.control	3.8418659722778745	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
13	RUNX3_MOUSE.PEAKS036340.gem.control	3.821823124276332	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
16	RUNX3_MOUSE.PEAKS036342.gem.control	3.7139008162772926	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
17	RUNX3_MOUSE.PEAKS036336.gem.control	3.709443497471882	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
18	RUNX3_MOUSE.PEAKS036341.gem.control	3.62866995446124	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
19	RUNX3_MOUSE.PEAKS036336.macs.control	3.613090370568485	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
20	RUNX3_MOUSE.PEAKS036340.macs.control	3.599794753865352	/home/pavelkrav/wlogauc_datasets/mono/RUNX3.M.txt	MOUSE
