	0	1	2	organism
34	MYC_MOUSE.PEAKS039533.gem.control	3.207015705150672	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
37	MYC_MOUSE.PEAKS039534.gem.control	3.1665292040128312	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
44	MYC_MOUSE.PEAKS037305.gem.control	3.0991642039702785	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
46	MYC_MOUSE.PEAKS039532.gem.control	3.0822492091000555	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
47	MYC_MOUSE.PEAKS039531.gem.control	3.077784995102373	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
51	MYC_MOUSE.PEAKS039535.gem.control	3.0649980760745903	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
53	MYC_MOUSE.PEAKS039530.gem.control	3.0365860140829337	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
54	MYC_MOUSE.PEAKS039537.gem.control	3.0303871541111973	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
56	MYC_MOUSE.PEAKS036517.gem.control	3.02075106096196	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
59	MYC_MOUSE.PEAKS036493.gem.control	2.993211285656243	/home/pavel-kravchenko/wlogauc_datasets/mono/MYC.M.txt	MOUSE
